Step,Value
0,0.0006039833533577621
1,0.00029896246269345284
2,0.00016822750330902636
3,0.0001072433078661561
4,8.602878369856626e-05
5,7.521828229073435e-05
6,6.890360964462161e-05
7,6.341287371469662e-05
8,5.930059705860913e-05
9,5.6029733968898654e-05
10,5.267683809506707e-05
11,5.063560820417479e-05
12,4.787685247720219e-05
13,4.599696694640443e-05
14,4.3362233554944396e-05
15,4.093447932973504e-05
16,3.864344034809619e-05
17,3.61421043635346e-05
18,3.36657976731658e-05
19,3.087051663897e-05
20,2.9036564228590578e-05
21,2.707627572817728e-05
22,2.5027355150086805e-05
23,2.3520948161603883e-05
24,2.242066511826124e-05
25,2.0965504518244416e-05
26,1.9784651158261113e-05
27,1.8843011275748722e-05
28,1.767325375112705e-05
29,1.705268005025573e-05
30,1.6020934708649293e-05
31,1.5340541722252965e-05
32,1.4785590792598668e-05
33,1.4111637028690893e-05
34,1.3585792657977436e-05
35,1.308310038439231e-05
36,1.247809541382594e-05
37,1.2223363228258677e-05
38,1.1706532859534491e-05
39,1.1332303984090686e-05
40,1.1032503607566468e-05
41,1.0820071111083962e-05
42,1.0403338819742203e-05
43,1.0128798749065027e-05
44,9.96778271655785e-06
45,9.645015779824462e-06
46,9.367827260575723e-06
47,9.284703992307186e-06
48,8.90275441634003e-06
49,8.741858437133487e-06
50,8.663780135975685e-06
51,8.403553692915011e-06
52,8.252244697359856e-06
53,8.055933903960977e-06
54,7.965609256643802e-06
55,7.896496754256077e-06
56,7.677670510020107e-06
57,7.676023415115196e-06
58,7.42111524232314e-06
59,7.359485607594252e-06
60,7.150699275371153e-06
61,7.1182216743181925e-06
62,7.198743332992308e-06
63,6.999875949986745e-06
64,6.814989774284186e-06
65,6.824553111073328e-06
66,6.598677828151267e-06
67,6.565926923940424e-06
68,6.56593510939274e-06
69,6.4791729528224096e-06
70,6.418135399144376e-06
71,6.231995939742774e-06
72,6.21043318460579e-06
73,6.218131147761596e-06
74,6.04503975409898e-06
75,6.150780336611206e-06
76,6.025265520293033e-06
77,5.955620963504771e-06
78,5.9225944823992904e-06
79,5.90047420701012e-06
80,5.805387900181813e-06
81,5.789038823422743e-06
82,5.75803733227076e-06
83,5.641477400786243e-06
