Step,Value
0,-0.7779748439788818
1,-2.982442855834961
2,-5.713138103485107
3,-7.035470485687256
4,-7.575570106506348
5,-8.096336364746094
6,-8.289172172546387
7,-8.657062530517578
8,-8.963651657104492
9,-9.029875755310059
10,-9.56131362915039
11,-9.437870979309082
12,-9.287904739379883
13,-9.468830108642578
14,-9.972923278808594
15,-10.59939956665039
16,-10.718290328979492
17,-11.226032257080078
18,-11.533943176269531
19,-11.990074157714844
20,-11.665887832641602
21,-12.562979698181152
22,-12.995104789733887
23,-12.944496154785156
24,-13.072216033935547
25,-13.299261093139648
26,-13.569026947021484
27,-14.153831481933594
28,-13.495218276977539
29,-14.43716812133789
30,-14.422636032104492
31,-14.831750869750977
32,-14.908929824829102
33,-15.148621559143066
34,-15.134631156921387
35,-15.064154624938965
36,-15.667804718017578
37,-16.042007446289062
38,-15.114178657531738
39,-15.772148132324219
40,-15.899027824401855
41,-15.701292037963867
42,-16.192262649536133
43,-16.706722259521484
44,-16.49995994567871
45,-15.03132438659668
46,-14.984684944152832
47,-17.200695037841797
48,-15.276299476623535
49,-17.30978775024414
50,-17.069259643554688
51,-17.471393585205078
52,-17.57470703125
53,-17.70095443725586
54,-16.791749954223633
55,-17.073701858520508
56,-17.09075164794922
57,-18.01141357421875
58,-17.941329956054688
59,-18.069860458374023
60,-17.044389724731445
61,-18.10712432861328
62,-17.800945281982422
63,-18.46027374267578
64,-17.604148864746094
65,-17.816631317138672
66,-18.770837783813477
67,-17.42922592163086
68,-18.247106552124023
69,-17.457212448120117
70,-18.60517692565918
71,-17.415687561035156
72,-17.623441696166992
73,-18.57056427001953
74,-18.80093765258789
75,-18.697059631347656
76,-18.919349670410156
77,-18.871994018554688
78,-19.040557861328125
79,-19.336498260498047
80,-18.161115646362305
81,-18.786296844482422
82,-17.14155387878418
83,-19.49436378479004
84,-19.456003189086914
85,-18.10685920715332
86,-19.20005989074707
87,-16.882261276245117
88,-17.831178665161133
89,-19.121784210205078
90,-18.95125961303711
91,-18.564517974853516
92,-17.98670768737793
93,-19.234010696411133
94,-16.48519515991211
95,-19.924652099609375
96,-16.195785522460938
97,-16.68626594543457
98,-19.513166427612305
99,-19.623550415039062
100,-19.039276123046875
101,-19.160554885864258
102,-19.36501693725586
103,-20.101823806762695
104,-18.92627716064453
105,-18.05052375793457
106,-19.639211654663086
107,-19.353845596313477
108,-17.997289657592773
109,-19.276138305664062
110,-18.919240951538086
111,-19.594106674194336
0,-0.45065316557884216
1,-2.2920010089874268
2,-3.6755332946777344
0,0.3661830723285675
1,-0.7826077938079834
2,-1.5330452919006348
3,-3.078909158706665
4,-4.195403099060059
5,-5.127478122711182
6,-5.867998123168945
7,-6.4835381507873535
8,-6.900555610656738
9,-7.537469387054443
10,-8.165929794311523
11,-8.157805442810059
12,-8.976737976074219
13,-8.969391822814941
14,-9.012539863586426
15,-9.429160118103027
16,-8.532142639160156
17,-10.077016830444336
18,-9.289369583129883
19,-9.707135200500488
20,-8.919736862182617
21,-10.184077262878418
22,-10.162187576293945
23,-10.449017524719238
24,-9.614640235900879
25,-8.407613754272461
26,-10.763113021850586
27,-11.254195213317871
28,-10.139677047729492
29,-8.12463665008545
30,-11.573643684387207
31,-10.737394332885742
32,-10.231432914733887
33,-11.437363624572754
34,-10.94749641418457
35,-10.853423118591309
36,-9.326569557189941
37,-11.634135246276855
38,-9.502256393432617
39,-11.801386833190918
40,-11.633682250976562
41,-9.142867088317871
42,-10.3486909866333
43,-11.941176414489746
44,-11.922673225402832
45,-12.186593055725098
46,-11.94753646850586
47,-11.521347045898438
48,-11.93404769897461
49,-9.691034317016602
50,-11.928497314453125
51,-10.915908813476562
